日期,标题,类型,编号,持有股票,确定性,跟踪股票,操作备注
2025-01-05,投资周记（294）股市挑人投资需认清自身是否适合,投资周记,294,硅宝科技|华康股份|索通发展,推断,,无操作;延续2024年末3只满仓;开年两天大跌;反思什么人不适合投资;YTD -3.09%;2024年收益率4.57%
2025-01-11,投资周记（295）投资成功需要决断力！,投资周记,295,硅宝科技|华康股份|索通发展,推断,,无操作;讨论决断力重要性;索通产品涨价抗跌;硅宝华康此前炒作高位未切换;YTD -2.79%
2025-01-18,投资周记（296）会不会惧怕特朗普上台？,投资周记,296,硅宝科技|华康股份|索通发展,推断,,无操作;特朗普1月20日上台;暂时不考虑换股;满仓持有
2025-01-26,投资周记（297）太极和再升,投资周记,297,硅宝科技|华康股份|索通发展,推断,太极集团|再升科技,无操作;分析太极和再升反思历史教训但不买回;节前最后一篇
2025-02-08,投资周记（298）投资比拼到最后拼的是价值观,投资周记,298,硅宝科技|华康股份|索通发展,推断,AI/机器人赛道,无操作;春节后三个交易日;索通涨停(预焙阳极连续三月涨价)!YTD +7.27%
2025-02-15,投资周记（299）投资把防守做好好运就会持续来,投资周记,299,硅宝科技|华康股份|索通发展,明确,,无操作;索通周涨11.63%!总资产新高;讨论防守重要性;YTD暂缺
2025-02-23,投资周记（300）唉爬出坑了,投资周记,300,硅宝科技|华康股份|索通发展,明确,,⚡19.45元卖出硅宝科技5000股!硅宝被AI机器人仿真皮肤概念炒作;边打边撤策略;资产历史新高爬出2024大坑;YTD +22.76%总332%
2025-03-01,投资周记（301）华康的年报出来了,投资周记,301,硅宝科技|华康股份|索通发展,明确,,⚡19.01元卖出硅宝科技5000股!华康年报分析(Q4毛利率大幅提升至24%/大力扩产豪赌未来);卖出资金暂未开新仓;周五大盘暴跌;YTD +18.16%
2025-03-08,投资周记（302）买入一个新标的,投资周记,302,硅宝科技|华康股份|索通发展|凌玮科技,明确,,⚡买入凌玮科技(~19万从硅宝卖出款)!二氧化硅纳米材料公司/新产能2万吨投产/图形底部往上;做多中国;YTD +26.74%!
2025-03-15,投资周记（303）终究还是把硅宝清空了,投资周记,303,华康股份|索通发展|凌玮科技|博隆技术,明确,,⚡清仓硅宝科技全部剩余仓位(持3年/赚7万多/了却心结)!⚡买入博隆技术(~10几万)!气力输送系统龙头/在手订单49亿业绩确定性高但买入略晚安全边际不足;YTD +19.88%
2025-03-22,投资周记（304）之前还是有点太急了,投资周记,304,华康股份|索通发展|凌玮科技|博隆技术,推断,,⚡闲散资金加仓凌玮科技200股!反思之前操作太急(硅宝减仓过快)/博隆买得太快;调整节奏;YTD暂缺
2025-03-29,投资周记（305）一季度又快结束了,投资周记,305,华康股份|索通发展|凌玮科技|博隆技术,明确,太极集团,无操作;Q1小结:四个标的各有利弊;市场调整中;不会去追AI机器人热门;YTD暂缺
2025-04-04,投资周记（306）老美的贸易政策将对世界格局产生深远影响,投资周记,306,华康股份|索通发展|凌玮科技|博隆技术,推断,,无操作;特朗普对等关税(中国34%/越南46%);全球市场暴跌;索通出口美国占比小影响有限;满仓抗
2025-04-12,投资周记（307）关税战对资本市场的影响就这么过去了？,投资周记,307,华康股份|索通发展|凌玮科技|博隆技术,推断,,⚡14.55元买入索通发展100股(散碎银子加仓)!关税战第一周暴跌后情绪修复;四个标的均无实质性风险;YTD暂缺
2025-04-19,投资周记（308）凌玮还是可以继续边拿边跟踪的,投资周记,308,华康股份|索通发展|凌玮科技|博隆技术,推断,,无操作;凌玮年报分析(利润1.28亿+5.6%/新产能爬坡中/瑕疵是政府采购占比高);博隆年报分析(利润2.86亿-0.5%/合同负债25.6亿新高/盈利预测偏保守)
2025-04-27,投资周记（309）持有公司的一季报都出来了,投资周记,309,华康股份|索通发展|凌玮科技|博隆技术,明确,,⚡14.49元买入华康股份700股(分红再投资)!逐一分析四只一季报:索通亮眼(净利+356%)/凌玮合格/华康持平/博隆(合同负债新高);YTD暂缺
2025-05-01,投资周记（310）人的三个价值,投资周记,310,华康股份|索通发展|凌玮科技|博隆技术,推断,,无操作;五一假期;讨论人的情绪价值/功能价值/社会价值;YTD暂缺
2025-05-11,投资周记（311）弱者选股强者突破,投资周记,311,华康股份|索通发展|凌玮科技|博隆技术,推断,,无操作;提出弱者选股+强者突破理念;散户是弱者要把安全边际放第一;YTD暂缺
2025-05-17,投资周记（312）混沌时期寻找结构性的机会,投资周记,312,华康股份|索通发展|凌玮科技|博隆技术,推断,太极集团,无操作;参加太极股东会(新任董事长俞敏/2025目标稳中有升);市场混沌期;YTD暂缺
2025-05-23,投资周记（313）能力圈非常重要！,投资周记,313,华康股份|索通发展|凌玮科技|博隆技术,推断,太极集团|溯联股份,无操作;参加太极和溯联股东会;讨论能力圈边界;YTD暂缺
2025-05-30,投资周记（314）有一笔交易,投资周记,314,华康股份|索通发展|凌玮科技|博隆技术,明确,溯联股份,⚡16.27元卖出索通发展15700股(减半!成本降至11元以下)!石油焦价格高位回调无法判断后市;锁定正收益降低持仓成本;约26万现金闲置;YTD +20.25%
